month,actual_claims,trend,seasonal_index,fitted,residual
2024-01,1.0,2.29,1.287,2.94,-1.94
2024-02,7.0,2.3,2.496,5.74,1.26
2024-03,4.0,2.31,1.183,2.73,1.27
2024-04,3.0,2.32,1.143,2.66,0.34
2024-05,3.0,2.34,1.414,3.3,-0.3
2024-06,0.0,2.35,0.418,0.98,-0.98
2024-07,1.0,2.36,0.437,1.03,-0.03
2024-08,1.0,2.37,0.646,1.53,-0.53
2024-09,1.0,2.39,0.433,1.03,-0.03
2024-10,1.0,2.4,0.431,1.03,-0.03
2024-11,2.0,2.41,0.857,2.07,-0.07
2024-12,1.0,2.42,1.254,3.04,-2.04
2025-01,4.0,2.44,1.287,3.13,0.87
2025-02,6.0,2.45,2.496,6.11,-0.11
2025-03,3.0,2.46,1.183,2.91,0.09
2025-04,1.0,2.47,1.143,2.83,-1.83
2025-05,2.0,2.49,1.414,3.52,-1.52
2025-06,2.0,2.5,0.418,1.04,0.96
2025-07,1.0,2.51,0.437,1.1,-0.1
2025-08,2.0,2.52,0.646,1.63,0.37
2025-09,1.0,2.54,0.433,1.1,-0.1
2025-10,1.0,2.55,0.431,1.1,-0.1
2025-11,2.0,2.56,0.857,2.19,-0.19
2025-12,5.0,2.57,1.254,3.23,1.77
2026-01,4.0,2.59,1.287,3.33,0.67
2026-02,4.0,2.6,2.496,6.48,-2.48
2026-03,1.0,2.61,1.183,3.09,-2.09
2026-04,4.0,2.62,1.143,3.0,1.0
2026-05,5.0,2.63,1.414,3.73,1.27
2026-06,1.0,2.65,0.418,1.11,-0.11
