site_id,site_name,site_type
1,Cedar Grove Group Home,Residential Group Home
2,Maplewood Group Home,Residential Group Home
3,Birchwood Group Home,Residential Group Home
4,Fernbrook Group Home,Residential Group Home
5,Hillcrest Group Home,Residential Group Home
6,Oakridge Group Home,Residential Group Home
7,Willow Lane Group Home,Residential Group Home
8,Morris Day Center,Day Program
9,Parsippany Community Hub,Day Program
10,Denville Activity Center,Day Program
11,JobLink Morris,Supported Employment
12,Community Works,Supported Employment
